"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5 yr rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Trips","Unweighted_Sample_Trips","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","32","1267","1001","2063","1854"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","9","356","324","2063","1854"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","182","7180","6591","2063","1854"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","914","20450","18120","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","68","1525","1342","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","191","4282","3575","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","263","5881","5368","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","20","452","344","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","66","1474","1207","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","18","394","317","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","252","5626","5265","1166","1069"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","818","14871","12494","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","86","1567","1303","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","213","3863","3298","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","155","2825","2461","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","41","751","498","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","44","792","670","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","227","4126","3544","948","829"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","1063","1518699","1434196","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","18","25677","23374","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","16538","13128","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","452","646277","602434","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","238","340135","324729","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","8","10741","7703","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5695","4993","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","1156","1145","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","45","64088","59774","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","11854","11582","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","3","3754","3255","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","15","21607","18642","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","11","16261","14658","74508","73649"
"Average trips per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","248","354917","348779","74508","73649"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","1026","1673813","1575251","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","26398","23988","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","18","30153","25143","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","425","692999","643211","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","228","372066","355638","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","9","14862","11087","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","4","5906","5095","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","1387","1349","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","45","73413","67049","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","12828","12509","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","3","4640","3976","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","16","26748","22924","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","11","17719","15885","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","242","394695","387397","85083","83634"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","843","71276","61770","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","5","401","327","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","45","3824","3080","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","263","22244","18961","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","188","15925","14219","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","22","1880","1372","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","42","3517","2723","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","5","455","365","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","16","1341","1059","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","7","607","511","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","244","20586","18786","4407","3973"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","799","32903","29113","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","136","5611","4917","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","222","9131","7895","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","125","5166","4719","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","22","899","757","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","58","2374","1918","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","33","1344","1085","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","8","348","326","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","176","7233","6829","2147","1990"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","917","22541","20324","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","70","1723","1546","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","181","4440","3739","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","259","6366","5900","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","19","461","369","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","65","1599","1335","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","20","483","385","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","269","6609","6296","1282","1200"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","831","14969","12602","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","94","1702","1442","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","221","3978","3414","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","144","2601","2294","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","42","748","515","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","38","686","584","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","25","444","334","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","!","!","!","!","!"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","228","4110","3482","939","830"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","1047","1531079","1450390","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","17","25074","22957","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","12","17264","14140","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","446","652804","608793","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","234","341792","328281","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","7","10849","8058","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","4","5705","4949","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","1","1243","1226","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","45","65193","60457","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","8","11927","11719","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","3","3930","3421","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","16","23114","20038","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","11","16290","14628","76245","75578"
"Average trips per year by mode of transport","2003-2007","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","243","355895","351723","76245","75578"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","1017","1654951","1552209","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","16","26459","23956","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","19","31262","26004","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","421","685545","634690","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","227","368765","350722","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","9","15260","11407","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","4","5872","5049","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","1","1277","1250","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","44","72291","66025","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","8","13050","12663","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","3","4350","3779","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","17","27963","23909","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","11","17258","15472","84824","83309"
"Average trips per year by mode of transport","2004-2008","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","237","385600","377283","84824","83309"
